id,annee,trimestre,accessible_au_public,particulier,societe
1,2015,T1,8478,25638,34746
2,2015,T2,10086,29662,37933
3,2015,T3,10928,32278,38681
4,2015,T4,11113,37448,42891
5,2016,T1,12830,43284,48013
6,2016,T2,13861,48412,52015
7,2016,T3,12859,52052,55309
8,2016,T4,16220,57039,59408
9,2017,T1,17423,62957,63757
10,2017,T2,19750,68509,68930
11,2017,T3,20688,73404,73713
12,2017,T4,19309,79807,78881
13,2018,T1,26325,86681,84921
14,2018,T2,22283,92537,90950
15,2018,T3,24319,97164,96616
16,2018,T4,26254,106839,104895
17,2019,T1,27516,115690,113101
18,2019,T2,27668,123368,118974
19,2019,T3,29545,132275,125667
20,2019,T4,30203,144123,135563
21,2020,T1,31081,172822,167797
22,2020,T2,32648,192823,180499
23,2020,T3,33369,222346,198437
24,2020,T4,34686,267371,237863
25,2021,T1,37491,307174,269327
26,2021,T2,43699,359188,307269
27,2021,T3,49086,402361,331981
28,2021,T4,53667,465424,368355
29,2022,T1,57732,515435,392504
30,2022,T2,64546,575686,420774
31,2022,T3,71630,623836,446585
32,2022,T4,82107,688060,493648
33,2023,T1,95755,763452,540928
34,2023,T2,101681,838695,600186
35,2023,T3,109856,906942,652131
