id,mois,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,janvier,100,311,250,409,619,1371,2242,1286,3059,10954,6469
2,fevrier,136,406,648,411,1084,1889,2271,1949,2879,9452,8425
3,mars,248,483,1350,709,1174,2749,2889,4047,4614,5510,15592
4,avril,187,395,940,821,1726,2109,1474,1894,3222,1218,9598
5,mai,143,564,688,902,1067,1829,1900,2018,2736,4111,11555
6,juin,141,112,903,1050,2336,2378,2773,3166,4497,13727,20862
7,juillet,64,594,492,743,1299,1065,1510,1734,3078,9941,7524
8,aout,108,960,403,366,717,919,1266,1604,2092,5591,9911
9,septembre,301,514,644,1514,1731,1769,2432,2614,4201,10015,16990
10,octobre,202,763,1058,1076,1757,1543,1748,2861,4382,10045,15582
11,novembre ,466,330,694,911,1508,1298,1673,3541,3201,9601,16420
12,decembre ,530,231,709,1643,2222,2819,2726,4355,4803,20734,23168
13,total,2626,5663,8779,10555,17240,21738,24904,31069,42764,110899,162096
