id,mois,annee,valeur
1,janvier,2011,100
2,fevrier,2011,136
3,mars,2011,248
4,avril,2011,187
5,mai,2011,143
6,juin,2011,141
7,juillet,2011,64
8,aout,2011,108
9,septembre,2011,301
10,octobre,2011,202
11,novembre ,2011,466
12,decembre ,2011,530
13,janvier,2012,311
14,fevrier,2012,406
15,mars,2012,483
16,avril,2012,395
17,mai,2012,564
18,juin,2012,112
19,juillet,2012,594
20,aout,2012,960
21,septembre,2012,514
22,octobre,2012,763
23,novembre ,2012,330
24,decembre ,2012,231
25,janvier,2013,250
26,fevrier,2013,648
27,mars,2013,1350
28,avril,2013,940
29,mai,2013,688
30,juin,2013,903
31,juillet,2013,492
32,aout,2013,403
33,septembre,2013,644
34,octobre,2013,1058
35,novembre ,2013,694
36,decembre ,2013,709
37,janvier,2014,409
38,fevrier,2014,411
39,mars,2014,709
40,avril,2014,821
41,mai,2014,902
42,juin,2014,1050
43,juillet,2014,743
44,aout,2014,366
45,septembre,2014,1514
46,octobre,2014,1076
47,novembre ,2014,911
48,decembre ,2014,1643
49,janvier,2015,619
50,fevrier,2015,1084
51,mars,2015,1174
52,avril,2015,1726
53,mai,2015,1067
54,juin,2015,2336
55,juillet,2015,1299
56,aout,2015,717
57,septembre,2015,1731
58,octobre,2015,1757
59,novembre ,2015,1508
60,decembre ,2015,2222
61,janvier,2016,1371
62,fevrier,2016,1889
63,mars,2016,2749
64,avril,2016,2109
65,mai,2016,1829
66,juin,2016,2378
67,juillet,2016,1065
68,aout,2016,919
69,septembre,2016,1769
70,octobre,2016,1543
71,novembre ,2016,1298
72,decembre ,2016,2819
73,janvier,2017,2242
74,fevrier,2017,2271
75,mars,2017,2889
76,avril,2017,1474
77,mai,2017,1900
78,juin,2017,2773
79,juillet,2017,1510
80,aout,2017,1266
81,septembre,2017,2432
82,octobre,2017,1748
83,novembre ,2017,1673
84,decembre ,2017,2726
85,janvier,2018,1286
86,fevrier,2018,1949
87,mars,2018,4047
88,avril,2018,1894
89,mai,2018,2018
90,juin,2018,3166
91,juillet,2018,1734
92,aout,2018,1604
93,septembre,2018,2614
94,octobre,2018,2861
95,novembre ,2018,3541
96,decembre ,2018,4355
97,janvier,2019,3059
98,fevrier,2019,2879
99,mars,2019,4614
100,avril,2019,3222
101,mai,2019,2736
102,juin,2019,4497
103,juillet,2019,3078
104,aout,2019,2092
105,septembre,2019,4201
106,octobre,2019,4382
107,novembre ,2019,3201
108,decembre ,2019,4803
109,janvier,2020,10954
110,fevrier,2020,9452
111,mars,2020,5510
112,avril,2020,1218
113,mai,2020,4111
114,juin,2020,13727
115,juillet,2020,9941
116,aout,2020,5591
117,septembre,2020,10015
118,octobre,2020,10045
119,novembre ,2020,9601
120,decembre ,2020,20734
121,janvier,2021,6469
122,fevrier,2021,8425
123,mars,2021,15592
124,avril,2021,9598
125,mai,2021,11555
126,juin,2021,20862
127,juillet,2021,7524
128,aout,2021,9911
129,septembre,2021,16990
130,octobre,2021,15582
131,novembre ,2021,16420
132,decembre ,2021,23168
